danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Dark Trap,Emo,Hiphop,Pop,Rap,RnB,Trap Metal,Underground Rap,dnb,hardstyle,psytrance,techhouse,techno,trance,trap
0.499,0.925,11,-7.098,0,0.0488,0.0002,0.922,0.139,0.24,139.986,390714,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.792,0.605,2,-6.566,1,0.0393,0.0088,0.0,0.104,0.239,139.917,261703,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.635,0.99,0,-6.756,1,0.0657,0.0002,0.831,0.21,0.196,145.005,395586,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.465,0.517,4,-6.189,1,0.0284,0.0085,0.0403,0.209,0.137,136.176,284373,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.823,0.536,1,-9.199,1,0.308,0.0311,0.0001,0.146,0.217,119.991,244036,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.718,0.679,11,-5.899,0,0.0706,0.0019,0.0104,0.385,0.205,157.97,173347,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.629,0.936,7,-7.207,1,0.0437,0.0,0.739,0.27,0.127,144.008,406667,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.312,0.762,6,-6.737,0,0.0814,0.0008,0.879,0.231,0.159,133.79,180000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.683,0.799,1,-5.923,1,0.3,0.456,0.0,0.264,0.752,145.128,160560,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.59,0.913,3,-5.248,0,0.0434,0.0006,0.0361,0.096,0.0457,127.069,219212,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.537,0.837,8,-7.494,1,0.0545,0.0,0.792,0.07,0.168,126.991,438425,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.721,0.998,7,-1.652,1,0.307,0.0063,0.0064,0.419,0.462,150.077,185602,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.48,0.734,7,-5.37,1,0.0259,0.0074,0.0005,0.196,0.294,150.02,294067,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.541,0.821,6,-11.865,0,0.0394,0.0709,0.789,0.167,0.241,134.012,329573,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.64,0.647,2,-8.276,1,0.0573,0.0138,0.0001,0.332,0.16,135.124,104777,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.575,0.457,8,-13.233,0,0.0978,0.0999,0.0001,0.106,0.221,151.978,139018,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.973,0.434,4,-11.133,1,0.17,0.102,0.0,0.128,0.52,121.979,144508,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.852,0.618,0,-4.753,1,0.0696,0.0499,0.0,0.331,0.675,189.546,227600,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
